variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi1,5000,0,37,0.8971381763634005,0.39840901505370474,1,2.251801898213744
Pi1,5000,0,38,0.9188774942855369,0.39840901505370474,1,2.306367224551066
Pi1,5000,0,39,0.8595739530815367,0.39840901505370474,1,2.1575163226807703
Pi1,5000,0,40,0.9150308248966947,0.39840901505370474,1,2.296712148376839
Pi1,5000,0,41,0.8622757633973961,0.39840901505370474,1,2.1642978216272617
Pi1,5000,0,42,0.8568661607998764,0.39840901505370474,1,2.1507198090996322
Pi1,5000,0,43,0.8966641446620113,0.39840901505370474,1,2.250612086529073
Pi1,5000,0,44,0.8773757620434671,0.39840901505370474,1,2.2021985670309157
Pi1,5000,0,45,0.9429835623765626,0.39840901505370474,1,2.366873054439921
Pi1,5000,0,46,0.8900464800040002,0.39840901505370474,1,2.2340018583264833
Pi1,5000,0,47,0.8456556070179087,0.39840901505370474,1,2.1225815056015134
Pi1,5000,0,48,0.8594480094250413,0.39840901505370474,1,2.157200206198119
Pi1,5000,0,49,0.8855940494724354,0.39840901505370474,1,2.2228263317612407
Pi2,500,1,0,0.7766230016784017,0.4443896818343893,1,1.7476170879409072
Pi2,500,1,1,0.7087757684085064,0.4443896818343893,1,1.5949420010895885
Pi2,500,1,2,0.5443248583178468,0.4443896818343893,1,1.2248818561019164
Pi2,500,1,3,0.6836458602453759,0.4443896818343893,1,1.5383927399559878
Pi2,500,1,4,0.8009494986336345,0.4443896818343893,1,1.8023584510950106
Pi2,500,1,5,0.7974991972607515,0.4443896818343893,1,1.7945943163413849
Pi2,500,1,6,0.8392599511393857,0.4443896818343893,1,1.8885675915674223
Pi2,500,1,7,0.8603176723412206,0.4443896818343893,1,1.9359533029433278
Pi2,500,1,8,0.7915022111966061,0.4443896818343893,1,1.7810994349134668
Pi2,500,1,9,0.6868552359063315,0.4443896818343893,1,1.5456147250563341
Pi2,500,1,10,0.7315352961924236,0.4443896818343893,1,1.6461572491348817
Pi2,500,1,11,0.7488932046232804,0.4443896818343893,1,1.6852173559294528
Pi2,500,1,12,0.7199536429732141,0.4443896818343893,1,1.6200953181480915
Pi2,500,1,13,0.7520906848640293,0.4443896818343893,1,1.6924125730360924
Pi2,500,1,14,0.8553957579933226,0.4443896818343893,1,1.9248776309619693
Pi2,500,1,15,0.8514816964977094,0.4443896818343893,1,1.9160699073454885
Pi2,500,1,16,0.7158090255688297,0.4443896818343893,1,1.610768779810667
Pi2,500,1,17,0.6575867061504546,0.4443896818343893,1,1.4797524178239525
Pi2,500,1,18,0.8347808462397416,0.4443896818343893,1,1.8784883636223564
Pi2,500,1,19,0.7012486858818369,0.4443896818343893,1,1.5780039783713322
Pi2,500,1,20,0.7053722734518567,0.4443896818343893,1,1.587283193750497
Pi2,500,1,21,0.6992610157545596,0.4443896818343893,1,1.5735311694639056
Pi2,500,1,22,0.8874856811688162,0.4443896818343893,1,1.9970888556758963
Pi2,500,1,23,0.827251736453305,0.4443896818343893,1,1.8615457790075263
Pi2,500,1,24,0.9377773613381926,0.4443896818343893,1,2.1102590804249908
Pi2,500,1,25,0.792981337214175,0.4443896818343893,1,1.7844278785700864
Pi2,500,1,26,0.7758867926103943,0.4443896818343893,1,1.7459604134092923
Pi2,500,1,27,0.7493638910480023,0.4443896818343893,1,1.6862765308922445
Pi2,500,1,28,0.7613961984914134,0.4443896818343893,1,1.7133525588363296
Pi2,500,1,29,0.7532948369526552,0.4443896818343893,1,1.6951222491106028
Pi2,500,1,30,0.8223474247154021,0.4443896818343893,1,1.8505097177793302
Pi2,500,1,31,0.7085875751273997,0.4443896818343893,1,1.5945185140267704
Pi2,500,1,32,0.6726737708177826,0.4443896818343893,1,1.513702496514012
Pi2,500,1,33,0.8069879026231804,0.4443896818343893,1,1.815946534339023
Pi2,500,1,34,0.7722886618543946,0.4443896818343893,1,1.7378636215550194
Pi2,500,1,35,0.6211289473488119,0.4443896818343893,1,1.3977123518819412
Pi2,500,1,36,0.6568049899231827,0.4443896818343893,1,1.4779933395662284
Pi2,500,1,37,0.7429748578464196,0.4443896818343893,1,1.6718994347022305
Pi2,500,1,38,0.7500938198864078,0.4443896818343893,1,1.6879190731659364
Pi2,500,1,39,0.7108455165879644,0.4443896818343893,1,1.5995995083721928
Pi2,500,1,40,0.7452335245701099,0.4443896818343893,1,1.6769820610907795
Pi2,500,1,41,0.6921333076000556,0.4443896818343893,1,1.5574918498175052
Pi2,500,1,42,0.7164455877453069,0.4443896818343893,1,1.612201221207257
Pi2,500,1,43,0.7568881037876719,0.4443896818343893,1,1.7032080957940454
Pi2,500,1,44,0.6759331656721806,0.4443896818343893,1,1.5210370386684195
