game,eta,V_naive,V_wrapper,rel_gap
54,0.0,3.121384171498296,3.121384171498296,0.0
54,0.1,3.121384171498296,3.0729693731483447,0.015510682336548448
54,0.2,3.121384171498296,2.8303100829792576,0.09325160647754174
54,0.3,3.121384171498296,2.5312656622685408,0.1890566737760561
55,0.0,3.0956494533025785,3.0956494533025785,0.0
55,0.1,3.0956494533025785,3.089630365950007,0.0019443698136446985
55,0.2,3.0956494533025785,2.7627522777064955,0.10753710344477026
55,0.3,3.0956494533025785,2.742421752574552,0.11410455413066323
56,0.0,3.344779575790961,3.344779575790961,0.0
56,0.1,3.344779575790961,3.2959257319667405,0.014605998004535697
56,0.2,3.344779575790961,3.1794548625510526,0.04942768557518037
56,0.3,3.344779575790961,2.628603843613803,0.21411746745484184
57,0.0,3.1875628444334136,3.1875628444334136,0.0
57,0.1,3.1875628444334136,3.155547528185394,0.010043822757529521
57,0.2,3.1875628444334136,2.8785481421652306,0.0969438775806054
57,0.3,3.1875628444334136,2.711423212381291,0.14937419437368982
58,0.0,3.3268522108804426,3.3268522108804426,0.0
58,0.1,3.3268522108804426,3.256402318953586,0.021176141120809296
58,0.2,3.3268522108804426,2.894192659423208,0.13005072780575416
58,0.3,3.3268522108804426,2.656459561741366,0.20150959719372358
59,0.0,3.323562393194998,3.323562393194998,0.0
59,0.1,3.323562393194998,3.2683469023371856,0.016613345654124832
59,0.2,3.323562393194998,3.10761539935342,0.06497455688473161
59,0.3,3.323562393194998,2.9461474452091827,0.11355735299118072
